Date,Closing Price (USD),24h Open (USD),24h High (USD),24h Low (USD),Closing_Price_Diff
2017-08-31,1037.226,1001.24599,1059.91,978.506,35.98001000000011
2017-09-01,1066.481,1037.226,1066.50599,1016.041,29.25499999999988
2017-09-02,1092.333,1066.481,1120.074,1064.69699,25.85200000000009
2017-09-03,1037.099,1092.333,1102.028,991.705,-55.23400000000015
2017-09-04,1014.844,1037.099,1054.241,1013.245,-22.25499999999988
2017-09-05,922.808,1014.844,1015.601,921.576,-92.03600000000006
2017-09-06,963.508,922.808,973.271,892.511,40.700000000000045
2017-09-07,969.293,963.508,999.56,947.522,5.784999999999968
2017-09-08,1036.32199,969.293,1043.901,966.455,67.02898999999991
2017-09-09,1012.969,1036.32199,1065.52,1011.04699,-23.352989999999863
2017-09-10,1042.374,1012.969,1057.89799,1012.315,29.404999999999973
2017-09-11,1049.86299,1042.374,1052.473,1024.187,7.488990000000058
2017-09-12,1078.557,1049.86299,1088.727,1041.614,28.694009999999935
2017-09-13,1083.37,1078.557,1104.528,1070.78199,4.8129999999998745
2017-09-14,1141.037,1083.37,1141.037,1078.59099,57.667000000000144
2017-09-15,1149.092,1141.037,1156.714,1121.597,8.055000000000064
2017-09-16,1140.86,1149.092,1162.361,1126.827,-8.232000000000198
2017-09-17,1151.685,1140.86,1152.20699,1114.077,10.825000000000045
2017-09-18,1178.284,1151.685,1203.82199,1150.209,26.59900000000016
2017-09-19,1197.896,1178.284,1203.037,1177.375,19.611999999999853
2017-09-20,1188.03299,1197.896,1197.896,1171.579,-9.863010000000031
2017-09-21,1214.801,1188.03299,1219.239,1179.396,26.768010000000004
2017-09-22,1207.74,1214.801,1220.056,1203.78299,-7.060999999999922
2017-09-23,1227.896,1207.74,1233.155,1205.364,20.15599999999995
2017-09-24,1217.269,1227.896,1227.927,1214.655,-10.626999999999953
2017-09-25,1188.136,1217.269,1220.007,1155.9,-29.133000000000038
2017-09-26,1187.10899,1188.136,1198.391,1170.893,-1.0270100000000184
2017-09-27,1190.55,1187.10899,1200.71,1179.094,3.4410100000000057
2017-09-28,1185.2,1190.55,1191.96499,1179.19599,-5.349999999999909
2017-09-29,1212.73799,1185.2,1212.73799,1182.78299,27.537990000000036
2017-09-30,1219.666,1212.73799,1223.358,1212.233,6.928009999999858
2017-10-01,1228.981,1219.666,1233.858,1210.183,9.315000000000055
2017-10-02,1262.702,1228.981,1265.665,1228.679,33.721000000000004
2017-10-03,1256.25125,1262.702,1276.053,1248.7925,-6.450749999999971
2017-10-04,1233.7575,1256.25125,1256.905,1221.0,-22.49375000000009
2017-10-05,1244.43,1233.7575,1251.455,1231.68374,10.672500000000127
2017-10-06,1252.5775,1244.43,1252.5775,1241.11999,8.147500000000036
2017-10-07,1270.69625,1252.5775,1271.7275,1249.7425,18.118749999999864
2017-10-08,1290.7475,1270.69625,1308.27875,1270.43,20.051249999999982
2017-10-09,1336.825,1290.7475,1344.5925,1290.4925,46.0775000000001
2017-10-10,1320.7,1336.825,1339.9875,1283.93249,-16.125
2017-10-11,1312.58874,1320.7,1334.375,1312.25125,-8.11126000000013
2017-10-12,1371.79,1312.58874,1372.20625,1309.7425,59.20126000000005
2017-10-13,1417.61,1371.79,1427.63375,1351.005,45.819999999999936
2017-10-14,1449.88625,1417.61,1467.88125,1409.54,32.27625000000012
2017-10-15,1507.7725,1449.88625,1508.51,1432.18125,57.88625000000002
2017-10-16,1544.31,1507.7725,1595.62625,1443.73125,36.53749999999991
2017-10-17,1537.1525,1544.31,1592.9675,1492.675,-7.157500000000027
2017-10-18,1555.6025,1537.1525,1556.225,1518.65,18.450000000000045
2017-10-19,1565.065,1555.6025,1573.55375,1526.895,9.462500000000091
2017-10-20,1645.72875,1565.065,1656.7875,1565.065,80.66374999999994
2017-10-21,1696.83125,1645.72875,1754.595,1642.0625,51.102499999999964
2017-10-22,1749.35375,1696.83125,1765.21,1691.39875,52.522500000000036
2017-10-23,1775.52,1749.35375,1840.23125,1749.07,26.16624999999999
2017-10-24,1635.6075,1775.52,1800.495,1588.69375,-139.9124999999999
2017-10-25,1775.805,1635.6075,1785.83625,1625.56125,140.1975
2017-10-26,1748.04375,1775.805,1794.7325,1741.2,-27.761250000000018
2017-10-27,1666.0325,1748.04375,1748.04375,1653.15625,-82.01125000000002
2017-10-28,1745.44125,1666.0325,1754.0375,1658.10875,79.40875000000005
2017-10-29,1797.89625,1745.44125,1824.555,1745.44125,52.45499999999993
2017-10-30,1914.13875,1797.89625,1919.3275,1796.7775,116.24250000000006
2017-10-31,1984.97875,1914.13875,1994.12375,1910.23125,70.83999999999992
2017-11-01,2075.69625,1984.97875,2075.69625,1965.975,90.71749999999997
2017-11-02,2115.98875,2075.69625,2116.59125,2002.145,40.29250000000002
2017-11-03,2197.66874,2115.98875,2290.2075,2063.30249,81.67999000000009
2017-11-04,2349.55249,2197.66874,2357.405,2175.49375,151.88374999999996
2017-11-05,2582.85375,2349.55249,2594.36666,2311.42625,233.30126000000018
2017-11-06,2461.95375,2582.85375,2792.695,2299.48999,-120.90000000000009
